County Name,Free/Reduced Lunch,Male Students,Female Students,Total Students,Full-Time Teachers,Student-to-Teacher Ratio
Sumter County,667.17,2093,2110,4203,51,13.74
Talbot County,408.0,220,188,408,37,11.03
Taliaferro County,187.0,92,95,187,26,7.19
Tattnall County,563.2,1833,1758,3591,55,13.05
Taylor County,298.0,632,597,1229,26,11.96
Telfair County,353.5,803,783,1586,28,inf
Terrell County,261.75,559,491,1050,23,11.32
Thomas County,589.62,4386,4148,8534,50,12.87
Tift County,696.45,3918,3743,7661,47,14.2
Toombs County,492.11,2788,2597,5385,43,13.9
Towns County,200.67,545,457,1002,30,11.09
Treutlen County,456.0,505,515,1020,42,12.28
Troup County,480.89,6332,5948,12280,43,13.98
Turner County,396.33,606,583,1189,32,12.61
Twiggs County,126.33,371,346,717,20,11.89
Union County,297.2,1557,1467,3024,44,12.67
Upson County,863.25,2061,1999,4060,67,15.07
Walker County,328.94,5021,4657,9678,42,12.65
Walton County,367.26,8451,8047,16498,55,15.66
Ware County,528.2,3099,2884,5983,48,12.07
Warren County,219.67,319,343,662,20,11.27
Washington County,606.25,1398,1429,2827,47,14.99
Wayne County,486.25,2644,2528,5172,45,14.02
Webster County,122.5,130,135,265,12,11.88
Wheeler County,260.33,423,450,873,21,13.76
White County,391.86,3343,3065,6408,56,15.34
Whitfield County,433.06,10317,9682,19999,47,12.74
Wilcox County,347.67,633,555,1188,28,14.87
Wilkes County,255.6,656,614,1270,23,11.12
Wilkinson County,249.25,582,537,1119,20,13.62
Worth County,623.6,1569,1549,3118,40,16.76
